# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 09:21:17 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name	hostname	sy_snum	sy_pnum	discoverymethod	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	pl_rade	pl_radeerr1	pl_radeerr2	pl_radelim	pl_bmasse	pl_bmasseerr1	pl_bmasseerr2	pl_bmasselim	pl_eqt	pl_eqterr1	pl_eqterr2	pl_eqtlim	sy_dist	sy_disterr1	sy_disterr2
11 Com b	11 Com	2	1	Radial Velocity	323.21000000	0.06000000	-0.05000000	0	12.200			0	4914.89849	39.09289	-39.72855	0					93.1846000	1.9238000	-1.9238000
11 UMi b	11 UMi	1	1	Radial Velocity	516.21997000	3.20000000	-3.20000000	0	12.300			0	4684.81420	794.57500	-794.57500	0					125.3210000	1.9765000	-1.9765000
14 And b	14 And	1	1	Radial Velocity	186.76000000	0.11000000	-0.12000000	0	13.100			0	1131.15130	36.23244	-38.77507	0					75.4392000	0.7140000	-0.7140000
14 Her b	14 Her	1	2	Radial Velocity	1765.03890000	1.67709000	-1.87256000	0	12.600			0	2559.47216	518.69596	-280.64248	0					17.9323000	0.0073000	-0.0073000
16 Cyg B b	16 Cyg B	3	1	Radial Velocity	798.50000000	1.00000000	-1.00000000	0	13.500			0	565.73740	25.42640	-25.42640	0					21.1397000	0.0110000	-0.0111000
17 Sco b	17 Sco	1	1	Radial Velocity	578.38000000	2.01000000	-2.09000000	0	12.900			0	1373.01872	47.67426	-38.13941	0					124.9530000	2.5900000	-2.5900000
18 Del b	18 Del	2	1	Radial Velocity	982.85000000	1.06000000	-0.92000000	0	12.500			0	2926.24614	50.85255	-24.47279	0					76.2220000	0.6217000	-0.6217000
1RXS J160929.1-210524 b	1RXS J160929.1-210524	1	1	Imaging					18.647			0	3000.00000	300.00000	-300.00000	0	1700	100	-100	0	139.1350000	1.3320000	-1.3070000
24 Boo b	24 Boo	1	1	Radial Velocity	30.33000000	0.00000000	-0.01000000	0	13.900			0	280.64248	11.44182	-13.66662	0					95.9863000	0.6368500	-0.6368500
24 Sex b	24 Sex	1	2	Radial Velocity	452.80000000	2.10000000	-4.50000000	0	13.400			0	632.46000	82.63000	-120.77000	0					72.0691000	0.6854000	-0.6728000
24 Sex c	24 Sex	1	2	Radial Velocity	883.00000000	32.40000000	-13.80000000	0	13.900			0	273.32000	111.24000	-69.92000	0					72.0691000	0.6854000	-0.6728000
