# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 09:27:22 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
#
pl_name	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	pl_rade	pl_radeerr1	pl_radeerr2	pl_radelim	pl_trandur	pl_trandurerr1	pl_trandurerr2	pl_trandurlim
55 Cnc e	2.80800000	0.00200000	-0.00200000	0								
55 Cnc e	0.73654625	0.00000015	-0.00000015	0								
55 Cnc e					1.920	0.080	-0.080	0				
55 Cnc e	0.73654600	0.00000300	-0.00000300	0	2.173	0.097	-0.098	0				
55 Cnc e	0.73655150	0.00000150	-0.00000150	0								
55 Cnc e	0.73700000			0	1.897	0.044	-0.046	0				
55 Cnc e	0.73654370	0.00000520	-0.00000520	0	2.080	0.160	-0.170	0	1.5960000	0.0264000	-0.0456000	0
55 Cnc e												
55 Cnc e	0.73654740	0.00000130	-0.00000130	0	1.947	0.038	-0.038	0				
55 Cnc e	0.73654604	0.00000016	-0.00000016	0								
55 Cnc e	0.73653900	0.00000700	-0.00000700	0	1.910	0.080	-0.080	0				
55 Cnc e	0.73654582	0.00000101	-0.00000101	0	1.915	0.214	-0.214	0	1.5550160	0.0273325	-0.0273325	0
55 Cnc e	0.73654780	0.00000160	-0.00000120	0								
55 Cnc e	0.73654170	0.00000250	-0.00000280	0					1.5840000	0.0840000	-0.0672000	0
55 Cnc e	0.73654740	0.00000130	-0.00000140	0	1.875	0.029	-0.029	0				
55 Cnc e	0.73654000	0.00000300	-0.00000300	0	2.000	0.140	-0.140	0	1.5792000	0.0312000	-0.0312000	0
55 Cnc e	0.73654450	0.00000140	-0.00000150	0								
55 Cnc e	2.79674000	0.00010000	-0.00010000	0								
AU Mic b	8.46321000	0.00004000	-0.00004000	0	4.203	0.202	-0.202	0	3.5000000	0.6300000	-0.5900000	0
AU Mic b	8.46300000	0.00000200	-0.00000200	0								
AU Mic b	8.46321000			0								
AU Mic b	8.46300000	0.00000200	-0.00000200	0	4.070	0.170	-0.170	0	3.5000000	0.0800000	-0.0800000	0
AU Mic b	8.46308000	0.00006000	-0.00006000	0	3.957	0.146	-0.146	0	3.4927000	0.0074000	-0.0067000	0
AU Mic b	8.46299910			0								
AU Mic b	8.46314270			0								
AU Mic b	8.46300040	0.00000580	-0.00000600	0	4.190	0.240	-0.220	0	3.5600000	0.6000000	-0.4600000	0
AU Mic b					4.027	0.212	-0.212	0	3.5738006	0.0698212	-0.0698212	0
AU Mic b	8.46321000			0								
